PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,methods_used,methods_name
29906495,HIV infection across aging: Synergistic effects on intrinsic functional connectivity of the brain,"Egbert AR, Biswal B, Karunakaran KD, Pluta A, Wolak T, Rao S, Bornstein R, SzymaÅska B, Horban A, FirlÄg-Burkacka E, SobaÅska M, Gawron N, BieÅkowski P, Sienkiewicz-Jarosz H, ÅciÅska-BieÅkowska A, Åojek E.",Prog Neuropsychopharmacol Biol Psychiatry. 2019 Jan 10;88:19-30. doi: 10.1016/j.pnpbp.2018.06.006. Epub 2018 Jun 12.,Egbert AR,Prog Neuropsychopharmacol Biol Psychiatry,2019,2018/06/16,,,10.1016/j.pnpbp.2018.06.006,"The objective of the study was to examine additive and synergistic effects of age and HIV infection on resting state (RS) intra- and inter-network functional connectivity (FC) of the brain. We also aimed to assess relationships with neurocognition and determine clinical-, treatment-, and health-related factors moderating intrinsic brain activity in aging HIV-positive (HIV+) individuals. The current report presents data on 54 HIV+ individuals (age Mâ¯=â¯41, SDâ¯=â¯12â¯years) stabilized on cART and 54 socio-demographically matched healthy (HIV-) comparators (age Mâ¯=â¯43, SDâ¯=â¯12â¯years), with cohort education mean of 16â¯years (SDâ¯=â¯12). Age at seroconversion ranged 20-55â¯years old. ANOVA assessed additive and synergistic effects of age and HIV in 133 ROIs. Bivariate statistics examined relationships of FC indices vulnerable to age-HIV interactions and neurocognitive domains T-scores (attention, executive, memory, psychomotor, semantic skills). Multivariate logistic models determined covariates of FC. This study found no statistically significant age-HIV effects on RS-FC after correcting for multiple comparisons except for synergistic effects on connectivity within cingulo-opercular network (CON) at the trending level. However, for uncorrected RS connectivity analyses, we observed HIV-related strengthening between regions of fronto-parietal network (FPN) and default mode network (DMN), and particular DMN regions and sensorimotor network (SMN). Simultaneously, FC weakening was observed within FPN and between other regions of DMN-SMN, in HIV+ vs. HIV- individuals. Ten ROI pairs revealed age-HIV interactions, with FC decreasing with age in HIV+, while increasing in controls. FC correlated with particular cognitive domains positively in HIV+ vs. negatively in HIV- group. Proportion of life prior-to-after HIV-seroconversion, post-infection years, and treatment determined within-FPN and SMN-DMN FC. In sum, highly functioning HIV+/cART+ patients do not reveal significantly altered RS-FC from healthy comparators. Nonetheless, the current findings uncorrected for multiple comparisons suggest that HIV infection may lead to simultaneous increases and decreases in FC in distinct brain regions even in patients successfully stabilized on cART. Moreover, RS-fMRI ROI-based analysis can be sensitive to age-HIV interactions, which are especially pronounced for inter-network FC in relation to neurocognition. Aging and treatment-related factors partially explain RS-FC in aging HIV+ patients.",text mining,['bert']
24844030,[Functional amblyopia],"Avram E, StÄnilÄ A.",Oftalmologia. 2013;57(4):3-8.,Avram E,Oftalmologia,2013,2014/05/22,,,,"Amblyopia is a disorder of the visual system that represents unilateral or bi-lateral reduction of visual acuity in which an organic cause cannot be detected. The illness represents a syndrome of visual deficits, not only a deterioration of visual acuity. This syndrome includes: presence of crowding phenomena, contrast sensitivity deterioration, deficits in accommodation, deterioration of spatial orientation and ocular motility dysfunction. Depending on its etiology, amblyopia is classified into four main types: strabismic amblyopia, anisometropic amblyopia, isoametropic amblyopia and stimulus deprivation amblyopia. To successfully treat the ""lazy eye"" it is essential to remove the amblyopic factor with techniques addressing each disturbing factor. Techniques used for treating amblyopia include: occlusion, optical penalty or pharmacological, therapy with Levodopa and computer vision therapy. Amblyopia treatment is lengthy and it is very important to counsel not only the child but the whole family and to establish a relationship of trust between doctor and patient in order to get high treatment compliance and high child motivation.",text mining,"['computer vision', 'vision', 'visual']"
15143227,Gadolinium-enhanced three-dimensional MR angiography of Takayasu arteritis,"Nastri MV, Baptista LP, Baroni RH, Blasbalg R, de Avila LF, Leite CC, de Castro CC, Cerri GG.",Radiographics. 2004 May-Jun;24(3):773-86. doi: 10.1148/rg.243035096.,Nastri MV,Radiographics,2004,2004/05/15,,,10.1148/rg.243035096,"Takayasu arteritis is a form of large vessel vasculitis with a possible autoimmune origin that may cause stenosis of the aorta and its major branches. Six types of Takayasu arteritis are recognized; the type depends on whether the ascending aorta, descending thoracic aorta, abdominal aorta, aortic cervicobrachial branches, or renal arteries are affected. The coronary and pulmonary arteries are also sometimes involved. Clinical features of the disease include diminished or absent pulses, claudication, hypertension, and mesenteric angina. Conventional angiography has been the standard imaging tool for diagnosis and evaluation of Takayasu arteritis, although it demonstrates only the lumen of the vessel. Less invasive cross-sectional methods such as computed tomographic angiography and, more recently, three-dimensional magnetic resonance (MR) angiography can effectively demonstrate thickening of the vessel wall, which may be the earliest manifestation of the disease, occurring before stenosis and dilatation. MR imaging in particular allows better soft-tissue differentiation and can show other signs of inflammation, including mural edema and increased mural vascularity. Other advantages of MR imaging are the lack of iodinated contrast material or ionizing radiation.",text mining,[]
2797357,Malignant glial tumours: prognostic value of quantitative microscopy,"Scarpelli M, Montironi R, Collan Y, Sisti S, Carletti V, Criante P, Piscani E, Papo I, Mariuzzi GM.",Neurochirurgia (Stuttg). 1989 Sep;32(5):135-40. doi: 10.1055/s-2008-1054022.,Scarpelli M,Neurochirurgia (Stuttg),1989,1989/09/01,,,10.1055/s-2008-1054022,"Nuclear and cell density features have been measured in 22 cases of glioblastoma divided into two groups according to their survival periods, i.e. less than 12 months or more than 12. The results have demonstrated that the logarithmic transformation of the following features show up statistically significant differences (p less than 0.05): mean of the logarithm of nuclear area, standard deviation of the logarithm of perimeter and standard deviation of the logarithm of the roundness factor. The standard deviation of the roundness factor has been shown to be another parameter with statistically significant differences between the two groups. Forward stepwise discriminant analysis was adopted in order to identify the quantitative features which contributed most significantly to discriminating between the two groups. The results suggested a combination of two features, i.e. the standard deviation of the logarithm of the roundness factor and the mean of the logarithm of the roundness factor. The comparison between actual and predicted categories showed 68.18% agreement: 7 out of 22 cases were allocated incorrectly by the computer. However, when a classification probability threshold was adopted, the 7 incorrectly allocated cases assumed an ""intermediate"" position between the two groups, in agreement with their survival.",text mining,[]
39042053,Ultra-low dose hip CT-based automated measurement of volumetric bone mineral density at proximal femoral subregions,"Zhang X, Nadeem SA, DiCamillo PA, Shibli-Rahhal A, Regan EA, Barr RG, Hoffman EA, Comellas AP, Saha PK.",Med Phys. 2024 Jul 23. doi: 10.1002/mp.17319. Online ahead of print.,Zhang X,Med Phys,2024,2024/07/23,,,10.1002/mp.17319,"BACKGROUND: Forty to fifty percent of women and 13%-22% of men experience an osteoporosis-related fragility fracture in their lifetimes. After the age of 50 years, the risk of hip fracture doubles in every 10 years. x-Ray based DXA is currently clinically used to diagnose osteoporosis and predict fracture risk. However, it provides only 2-D representation of bone and is associated with other technical limitations. Thus, alternative methods are needed.
PURPOSE: To develop and evaluate an ultra-low dose (ULD) hip CT-based automated method for assessment of volumetric bone mineral density (vBMD) at proximal femoral subregions.
METHODS: An automated method was developed to segment the proximal femur in ULD hip CT images and delineate femoral subregions. The computational pipeline consists of deep learning (DL)-based computation of femur likelihood map followed by shape model-based femur segmentation and finite element analysis-based warping of a reference subregion labeling onto individual femur shapes. Finally, vBMD is computed over each subregion in the target image using a calibration phantom scan. A total of 100 participants (50 females) were recruited from the Genetic Epidemiology of COPD (COPDGene) study, and ULD hip CT imaging, equivalent to 18 days of background radiation received by U.S. residents, was performed on each participant. Additional hip CT imaging using a clinical protocol was performed on 12 participants and repeat ULD hip CT was acquired on another five participants. ULD CT images from 80 participants were used to train the DL network; ULD CT images of the remaining 20 participants as well as clinical and repeat ULD CT images were used to evaluate the accuracy, generalizability, and reproducibility of segmentation of femoral subregions. Finally, clinical CT and repeat ULD CT images were used to evaluate accuracy and reproducibility of ULD CT-based automated measurements of femoral vBMD.
RESULTS: Dice scores of accuracy (nÂ =Â 20), reproducibility (nÂ =Â 5), and generalizability (nÂ =Â 12) of ULD CT-based automated subregion segmentation were 0.990, 0.982, and 0.977, respectively, for the femoral head and 0.941, 0.970, and 0.960, respectively, for the femoral neck. ULD CT-based regional vBMD showed Pearson and concordance correlation coefficients of 0.994 and 0.977, respectively, and a root-mean-square coefficient of variation (RMSCV) (%) of 1.39% with the clinical CT-derived reference measure. After 3-digit approximation, each of Pearson and concordance correlation coefficients as well as intraclass correlation coefficient (ICC) between baseline and repeat scans were 0.996 with RMSCV of 0.72%. Results of ULD CT-based bone analysis on 100 participants (age (meanÂ Â±Â SD) 73.6Â Â±Â 6.6 years) show that males have significantly greater (pÂ <Â 0.01) vBMD at the femoral head and trochanteric regions than females, while females have moderately greater vBMD (pÂ =Â 0.05) at the medial half of the femoral neck than males.
CONCLUSION: Deep learning, combined with shape model and finite element analysis, offers an accurate, reproducible, and generalizable algorithm for automated segmentation of the proximal femur and anatomic femoral subregions using ULD hip CT images. ULD CT-based regional measures of femoral vBMD are accurate and reproducible and demonstrate regional differences between males and females.",text mining,['deep learning']
38412074,An Automated Analysis Framework for Epidemiological Survey on COVID-19,"Lin Z, Lin X, Yang X.",IEEE J Biomed Health Inform. 2024 May;28(5):3186-3199. doi: 10.1109/JBHI.2024.3370253. Epub 2024 May 6.,Lin Z,IEEE J Biomed Health Inform,2024,2024/02/27,,,10.1109/JBHI.2024.3370253,"For a long time, the prevention and control of COVID-19 has received significant attention. A crucial aspect of controlling the disease's spread is the epidemiological survey of patients and the subsequent analysis of epidemiological survey reports (case reports). However, current mainstream analysis approaches are all made manually. This manual method is time-consuming and manpower-intensive. This paper designs an automated visual epidemiological survey analysis (AVESA) framework for the epidemiological survey on COVID-19. AVESA designs a deep neural network for information extraction from case reports and automatically constructs an epidemiological knowledge graph based on predefined pattern. Moreover, a multi-dimensional knowledge reasoning model is developed for conducting knowledge reasoning in the complete COVID-19 epidemiological knowledge graph. In the entity extraction sub-task and multi-task extraction sub-task, AVESA achieved F1 scores of 85.12% and 92.29% respectively on the constructed dataset, significantly outperforming the standalone information extraction models. In full-graph computing, all three experiments align closely with manual analysis standards. In the risk analysis experiment, the weighted PageRank algorithm showed an average improvement of 11.21% in Top_Recall_n% over the standard PageRank algorithm. In the community detection experiment, the weighted Louvain algorithm showed a mere 4.34% community difference rate compared to manual analysis.",text mining,"['visual', 'neural network']"
37904407,COVID-19 studies involving machine learning methods: A bibliometric study,"BaygÃ¼l Eden A, Bakir Kayi A, Erdem MG, Demirci M.",Medicine (Baltimore). 2023 Oct 27;102(43):e35564. doi: 10.1097/MD.0000000000035564.,BaygÃ¼l Eden A,Medicine (Baltimore),2023,2023/10/31,PMC10615482,,10.1097/MD.0000000000035564,"BACKGROUND: Machine learning (ML) and artificial intelligence (AI) techniques are gaining popularity as effective tools for coronavirus disease of 2019 (COVID-19) research. These strategies can be used in diagnosis, prognosis, therapy, and public health management. Bibliometric analysis quantifies the quality and impact of scholarly publications. ML in COVID-19 research is the focus of this bibliometric analysis.
METHODS: A comprehensive literature study found ML-based COVID-19 research. Web of Science (WoS) was used for the study. The searches included ""machine learning,"" ""artificial intelligence,"" and COVID-19. To find all relevant studies, 2 reviewers searched independently. The network visualization was analyzed using VOSviewer 1.6.19.
RESULTS: In the WoS Core, the average citation count was 13.6âÂ±â41.3. The main research areas were computer science, engineering, and science and technology. According to document count, Tao Huang wrote 14 studies, Fadi Al-Turjman wrote 11, and Imran Ashraf wrote 11. The US, China, and India produced the most studies and citations. The most prolific research institutions were Harvard Medical School, Huazhong University of Science and Technology, and King Abdulaziz University. In contrast, Nankai University, Oxford, and Imperial College London were the most mentioned organizations, reflecting their significant research contributions. First, ""Covid-19"" appeared 1983 times, followed by ""machine learning"" and ""deep learning."" The US Department of Health and Human Services funded this topic most heavily. Huang Tao, Feng Kaiyan, and Ashraf Imran pioneered bibliographic coupling.
CONCLUSION: This study provides useful insights for academics and clinicians studying COVID-19 using ML. Through bibliometric data analysis, scholars can learn about highly recognized and productive authors and countries, as well as the publications with the most citations and keywords. New data and methodologies from the pandemic are expected to advance ML and AI modeling. It is crucial to recognize that these studies will pioneer this subject.",text mining,"['deep learning', 'visual']"
35528325,Oral Cavity Anatomical Site Image Classification and Analysis,"Xue Z, Pearlman PC, Yu K, Pal A, Chen TC, Hua CH, Kang CJ, Chien CY, Tsai MH, Wang CP, Chaturvedi AK, Antani S.",Proc SPIE Int Soc Opt Eng. 2022 Feb-Mar;12037:120370E. doi: 10.1117/12.2611541. Epub 2022 Apr 4.,Xue Z,Proc SPIE Int Soc Opt Eng,2022,2022/05/09,PMC9074925,NIHMS1800058,10.1117/12.2611541,"Oral cavity cancer is a common cancer that can result in breathing, swallowing, drinking, eating problems as well as speech impairment, and there is high mortality for the advanced stage. Its diagnosis is confirmed through histopathology. It is of critical importance to determine the need for biopsy and identify the correct location. Deep learning has demonstrated great promise/success in several image-based medical screening/diagnostic applications. However, automated visual evaluation of oral cavity lesions has received limited attention in the literature. Since the disease can occur in different parts of the oral cavity, a first step is to identify the images of different anatomical sites. We automatically generate labels for six sites which will help in lesion detection in a subsequent analytical module. We apply a recently proposed network called ResNeSt that incorporates channel-wise attention with multi-path representation and demonstrate high performance on the test set. The average F1-score for all classes and accuracy are both 0.96. Moreover, we provide a detailed discussion on class activation maps obtained from both correct and incorrect predictions to analyze algorithm behavior. The highlighted regions in the class activation maps generally correlate considerably well with the region of interest perceived and expected by expert human observers. The insights and knowledge gained from the analysis are helpful in not only algorithm improvement, but also aiding the development of the other key components in the process of computer assisted oral cancer screening.",text mining,['visual']
30979558,[Can Big Data change our practices?],"Daien V, Muyl-Cipollina A.",J Fr Ophtalmol. 2019 Jun;42(6):551-571. doi: 10.1016/j.jfo.2018.11.013. Epub 2019 Apr 9.,Daien V,J Fr Ophtalmol,2019,2019/04/14,,,10.1016/j.jfo.2018.11.013,"The European Medicines Agency has defined Big Data by the ""3 V's"": Volume, Velocity and Variety. These large databases allow access to real life data on patient care. They are particularly suited for studies of adverse events and pharmacoepidemiology. Deep learning is a collection of algorithms used in machine learning, used to model high-level abstractions in data using model architectures, which are composed of multiple nonlinear transformations. This article shows how Big Data and Deep Learning can help in ophthalmology, pointing out their advantages and disadvantages. A literature review is presented in this article illustrating the uses of Deep Learning in ophthalmology.",text mining,[]
30242349,Use of Deep Learning for Detailed Severity Characterization and Estimation of 5-Year Risk Among Patients With Age-Related Macular Degeneration,"Burlina PM, Joshi N, Pacheco KD, Freund DE, Kong J, Bressler NM.",JAMA Ophthalmol. 2018 Dec 1;136(12):1359-1366. doi: 10.1001/jamaophthalmol.2018.4118.,Burlina PM,JAMA Ophthalmol,2018,2018/09/23,PMC6583826,,10.1001/jamaophthalmol.2018.4118,"IMPORTANCE: Although deep learning (DL) can identify the intermediate or advanced stages of age-related macular degeneration (AMD) as a binary yes or no, stratified gradings using the more granular Age-Related Eye Disease Study (AREDS) 9-step detailed severity scale for AMD provide more precise estimation of 5-year progression to advanced stages. The AREDS 9-step detailed scale's complexity and implementation solely with highly trained fundus photograph graders potentially hampered its clinical use, warranting development and use of an alternate AREDS simple scale, which although valuable, has less predictive ability.
OBJECTIVE: To describe DL techniques for the AREDS 9-step detailed severity scale for AMD to estimate 5-year risk probability with reasonable accuracy.
DESIGN, SETTING, AND PARTICIPANTS: This study used data collected from November 13, 1992, to November 30, 2005, from 4613 study participants of the AREDS data set to develop deep convolutional neural networks that were trained to provide detailed automated AMD grading on several AMD severity classification scales, using a multiclass classification setting. Two AMD severity classification problems using criteria based on 4-step (AMD-1, AMD-2, AMD-3, and AMD-4 from classifications developed for AREDS eligibility criteria) and 9-step (from AREDS detailed severity scale) AMD severity scales were investigated. The performance of these algorithms was compared with a contemporary human grader and against a criterion standard (fundus photograph reading center graders) used at the time of AREDS enrollment and follow-up. Three methods for estimating 5-year risk were developed, including one based on DL regression. Data were analyzed from December 1, 2017, through April 15, 2018.
MAIN OUTCOMES AND MEASURES: Weighted Îº scores and mean unsigned errors for estimating 5-year risk probability of progression to advanced AMD.
RESULTS: This study used 67â¯401 color fundus images from the 4613 study participants. The weighted Îº scores were 0.77 for the 4-step and 0.74 for the 9-step AMD severity scales. The overall mean estimation error for the 5-year risk ranged from 3.5% to 5.3%.
